Country,Level 1,Level 2,Level 3,Level 4,Crime (C),Terrorism (T),Unrest (U),Health (H),Natural Disaster (N),Time-Limited Event (E),Kidnapping (K),Detention (D),Other (O)
Haiti,0,0,0,1,1,U,1,1,U,U,1,0,0
Honduras,0,0,1,1,1,0,0,0,0,0,0,0,0
Hong Kong,0,1,0,0,0,0,0,0,0,0,0,0,1
Hungary,1,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,1,0,0,0,0,0,0,0,0,0,0,0,0
India,0,1,1,1,1,1,1,0,0,0,0,0,1
Indonesia,0,1,0,1,0,1,1,0,1,0,0,0,0
Iran,0,0,0,1,0,1,1,0,0,0,1,1,0
Iraq,0,0,0,1,0,1,1,0,0,0,1,0,1
Ireland,1,0,0,0,0,0,0,0,0,0,0,0,0
"Israel, the West Bank, and Gaza",0,0,1,1,0,1,1,0,0,0,0,0,1
Italy,0,1,0,0,0,1,0,0,0,0,0,0,0
Ivory Coast,0,1,0,1,1,1,1,1,0,0,0,0,1
Jamaica,0,1,0,1,1,0,0,1,0,0,0,0,0
Japan,1,0,0,0,,0,0,0,0,0,0,0,0
Jordan,0,1,1,1,0,1,0,0,0,0,0,0,1
Kazakhstan,1,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,0,1,1,1,1,1,1,1,0,0,1,0,0
Kiribati,1,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,0,1,1,0,0,1,1,0,0,0,0,0,0
Kuwait,1,1,0,1,1,0,0,0,0,0,0,0,1
Kyrgyzstan,1,1,0,0,0,0,0,0,0,0,0,0,1
Laos,0,1,1,0,1,0,1,0,0,0,0,0,1
Latvia,1,0,0,0,0,0,0,0,0,0,0,0,0
Lebanon,0,0,0,1,1,1,1,0,0,0,1,0,1
Lesotho,0,1,0,0, N,1,0,0,0,0,0,0,0
Liberia,0,1,0,0,1,0,1,0,0,0,0,0,0
Libya,0,0,0,1,1,1,1,0,0,0,1,0,1
Liechtenstein ,1,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,1,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg,1,0,0,0,0,0,0,0,0,0,0,0,0
Macau,0,0,1,0,0,0,0,0,0,0,0,0,1
Madagascar,0,1,1,0,1,0,1,0,0,0,0,0,0
Malawi,0,1,0,0,1,0,1,0,0,0,0,0,0
Malaysia,1,1,0,0,0,0,0,0,0,0,1,0,0
Maldives,0,1,0,0,0,1,0,0,0,0,0,0,0
Mali,0,0,0,1,1,1,0,0,0,0,1,0,0
Malta,1,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands,1,0,0,0,0,0,0,1,0,0,0,0,0
Mauritania,0,0,1,1,1,1,0,0,0,0,0,0,0
Mauritius,1,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,1,1,1,1,1,0,0,0,0,0,1,0,0
Moldova,0,1,1,0,0,0,0,0,0,0,0,0,0
Mongolia,1,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,1,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,1,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,0,1,0,0,0,1,0,0,0,0,0,0,0
Mozambique,0,0,1,1,1,1,1,1,0,0,0,0,0
Myanmar,0,0,0,1,1,0,1,1,0,0,0,1,1
Namibia,0,1,0,0,1,0,0,1,0,0,0,0,0
Nauru,1,0,0,0,0,0,0,1,0,0,0,0,0
Nepal,0,1,0,0,0,0,1,0,0,0,0,0,0
Netherlands,0,1,0,0,0,1,0,0,0,0,0,0,0
New Caledonia,0,0,1,0,1,0,1,0,0,0,0,0,0
New Zealand,1,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,1,0,1,0,0,1,0,0,0,1,1
Niger,0,0,1,1,1,1,1,1,0,0,1,0,0
Nigeria,0,0,1,1,1,1,1,0,0,0,1,0,1
North Korea,0,0,0,1,0,0,0,0,0,0,0,1,1
North Macedonia,1,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1,0,0,0,0,0,0,0,0,0,0,0,0
Oman,0,1,0,1,0,1,0,0,0,0,0,0,1
Pakistan,0,0,1,1,0,1,0,0,0,0,0,0,1
Palau,1,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,1,0,1,1,0,1,0,0,0,0,0,0
Papua New Guinea,0,0,1,1,1,0,1,1,1,0,1,0,1
Paraguay,1,1,0,0,1,0,0,0,0,0,0,0,0
Peru,0,1,0,1,1,1,1,0,0,0,1,0,0
Philippines,0,1,1,1,1,1,1,0,0,0,1,0,0
Poland,1,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,1,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,1,0,0,0,0,0,0,0,0,0,0,0,0
Republic of the Congo,0,1,0,0,1,0,0,0,0,0,0,0,0
Romania,1,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,1,0,1,1,0,0,0,0,1,1
Rwanda,0,1,0,1,0,0,0,0,0,0,0,0,1
Saba,1,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,1,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,1,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,1,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,1,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,1,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,0,1,0,1,0,1,0,0,0,0,0,0,1
Senegal,1,1,0,0,1,0,0,0,0,0,0,0,1
Serbia,0,1,0,0,1,0,0,0,0,0,0,0,0
Seychelles,1,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,1,0,0,1,0,1,1,0,0,0,0,0
Singapore,1,0,0,0,0,0,0,0,0,0,0,0,0
Sint Eustatius,1,0,0,0,0,0,0,0,0,0,0,0,0
Sint Maarten,1,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,1,0,0,0,0,0,0,0,0,0,0,0,0
Slovenia,1,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands,0,1,0,0,1,0,1,1,0,0,0,0,1
Somalia,0,0,0,1,1,1,1,1,0,0,1,0,1
South Africa,0,1,0,0,1,1,1,0,0,0,1,0,0
South Korea,1,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,1,1,0,0,0,0,0,1,0,1
Spain,0,1,0,0,0,1,1,0,0,0,0,0,0
Sri Lanka,0,1,0,0,0,1,1,0,0,0,0,0,0
Sudan,0,0,0,1,1,1,1,0,0,0,1,0,1
Suriname,1,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,1,0,0,0,1,0,0,0,0,0,0,0
Switzerland,1,0,0,0,0,0,0,0,0,0,0,0,0
Syria,0,0,0,1,1,1,1,0,0,0,1,0,1
Taiwan,1,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,1,1,0,0,1,0,0,0,0,0,0,1
Tanzania,0,1,1,0,1,1,0,0,0,0,0,0,1
Thailand,1,0,1,0,0,0,1,0,0,0,0,0,0
The Bahamas,0,1,0,0,1,0,0,0,0,0,0,0,0
The Gambia,0,1,0,0,1,0,0,1,0,0,0,0,1
Timor-Leste,0,1,0,0,1,0,1,0,0,0,0,0,0
Togo,0,1,0,1,1,1,1,0,0,0,1,0,0
Tonga,1,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0,0,1,0,1,1,0,0,0,0,1,0,0
Tunisia,0,1,0,1,0,1,0,0,0,0,0,0,1
Turkey,0,1,0,1,0,1,0,0,0,0,0,0,1
Turkmenistan,1,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,1,0,0,1,0,0,0,0,0,0,0,0
Tuvalu,1,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,1,0,1,1,1,0,0,0,0,0,0
Ukraine,0,0,1,1,0,0,0,0,0,0,0,0,1
United Arab Emirates,0,1,0,0,0,1,0,0,0,0,0,0,1
United Kingdom,0,1,0,0,0,1,0,0,0,0,0,0,0
Uruguay,0,1,0,0,1,0,0,0,0,0,0,0,0
Uzbekistan,1,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,1,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,0,1,1,1,1,1,0,0,1,1,1
Vietnam,1,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,1,1,1,1,1,0,0,1,0,1
Zambia,1,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe,0,1,0,0,1,0,1,0,0,0,0,0,1
