Country1,Country2
Italy,Slovenia
Italy,Switzerland
Italy,Austria
Jordan,Syria
Jordan,Iraq
Jordan,Saudi Arabia
Jordan,Israel
Kazakhstan,Russia
Kazakhstan,Uzbekistan
Kazakhstan,Kyrgyzstan
Kazakhstan,China
Kazakhstan,Turkmenistan
Kenya,Uganda
Kenya,Ethiopia
Kenya,Tanzania
Kenya,South Sudan
Kenya,Somalia
Denmark,Germany
Kosovo,Albania
Kosovo,Serbia
Kosovo,Montengero
Kosovo,North Macedonia
Kuwait,Iraq
Kuwait,Saudi Arabia
Kyrgyzstan,Kazakhstan
Kyrgyzstan,Tajikistan
Kyrgyzstan,China
Kyrgyzstan,Uzbekistan
Laos,Thailand
Laos,Vietnam
Laos,Cambodia
Laos,Myanmar
Laos,China
Latvia,Belarus
Latvia,Russia
Latvia,Lithuania
Latvia,Estonia
Lebanon,Syria
Lebanon,Israel
Lesotho,South Africa
Liberia,Sierra Leone
Liberia,Guinea
Liberia,Ivory Coast
Libya,Egypt
Libya,Sudan
Libya,Niger
Libya,Algeria
Libya,Tunisia
Libya,Chad
Liechtenstein,Switzerland
Liechtenstein,Austria
Lithuania,Latvia
Lithuania,Russia
Lithuania,Poland
Lithuania,Belarus
Luxembourg,Belgium
Luxembourg,Germany
Luxembourg,France
Macau,China
China,Mongolia
China,Russia
China,Kazakhstan
China,Krygyzstan
China,Tajikstan
China,Pakistan
China,India
China,Nepal
China,Bhutan
China,Myanmar
China,Vietnam
China,North Korea
China,Afghanistan
China,Laos
Malawi,Zambia
Malawi,Tanzania
Malawi,Mozambique
Malaysia,Indonesia
Malaysia,Thailand
Malaysia,Brunei
Mali,Algeria
Mali,Niger
Mali,Burkina Faso
Mali,Ivory Coast
Mali,Guinea
Mali,Senegal
Mali,Mauritania
Mauritania,Senegal
Mauritania,Mali
Mauritania,Algeria
Mexico,United States
Mexico,Guatemala
Mexico,Belize
Moldova,Ukraine
Moldova,Romania
Mongolia,Russia
Mongolia,China
Montenegro,Albania
Montenegro,Kosovo
Montenegro,Serbia
Montenegro,Bosnia and Herzegovnia
Montenegro,Croatia
Morocco,Algeria
Mozambique,Tanzania
Mozambique,Malawi
Mozambique,Zimbabwe
Mozambique,Eswatini
Mozambique,Zambia
Mozambique,South Africa
Namibia,Angola
Namibia,Botswana
Namibia,South Africa
Namibia,Zambia
Nepal,India
Nepal,China
Netherlands,Germany
Netherlands,Belgium
Nicaragua,Honduras
Nicaragua,Costa Rica
Niger,Libya
Niger,Algeria
Niger,Mali
Niger,Nigeria
Niger,Chad
Niger,Burkina Faso
Niger,Benin
Nigeria,Chad
Nigeria,Niger
Nigeria,Cameroon
Nigeria,Benin
North Korea,South Korea
North Korea,Russia
North Korea,China
North Macedonia,Kosovo
North Macedonia,Serbia
North Macedonia,Bulgaria
North Macedonia,Albania
North Macedonia,Greece
Norway,Sweden
Norway,Finland
Norway,Russia
Oman,Saudi Arabia
Oman,Yemen
Oman,United Arab Emirates
Pakistan,Afghanistan
Pakistan,India
Pakistan,Iran
Pakistan,China
Panama,Costa Rica
Panama,Colombia
Papua New Guinea,Indonesia
Paraguay,Brazil
Paraguay,Argentina
Paraguay,Bolivia
Peru,Ecuador
Peru,Colombia
Peru,Bolivia
Peru,Brazil
Peru,Chile
Poland,Germany
Poland,Russia
Poland,Lithuania
Poland,Belarus
Poland,Ukraine
Poland,Slovakia
Poland,Czech Republic
Portugal,Spain
Qatar,Saudi Arabia
Republic of the Congo,Gabon
Republic of the Congo,Cameroon
Republic of the Congo,Central African Republic
Republic of the Congo,Angola
Republic of the Congo,Democratic Republic of the Congo
Romania,Moldova
Romania,Hungary
Romania,Serbia
Romania,Bulgaria
Romania,Ukraine
Russia,Kazakhstan
Russia,Mongolia
Russia,China
Russia,Finland
Russia,Belarus
Russia,Ukraine
Russia,Norway
Russia,Estonia
Russia,Latvia
Russia,North Korea
Russia,Georgia
Russia,Azerbaijan
Russia,Poland
Russia,Lithuania
Rwanda,Democratic Republic of the Congo
Rwanda,Burundi
Rwanda,Tanzania
Rwanda,Uganda
Saudi Arabia,United Arab Emirates
Saudi Arabia,Oman
Saudi Arabia,Iraq
Saudi Arabia,Jordan
Saudi Arabia,Yemen
Saudi Arabia,Kuwait
Saudi Arabia,Bahrain
Saudi Arabia,Qatar
Senegal,Mauritania
Senegal,Mali
Senegal,Guinea-Bissau
Senegal,Guinea
Serbia,Bosnia and Herzegovina
Serbia,Bulgaria
Serbia,Kosovo
Serbia,North Macedonia
Serbia,Montenegro
Serbia,Romania
Serbia,Croatia
Serbia,Hungary
Sierra Leone,Guinea
Sierra Leone,Liberia
Slovakia,Poland
Slovakia,Czech Republic
Slovakia,Hungary
Slovakia,Austria
Slovakia,Ukraine
Slovenia,Austria
Slovenia,Hungary
Slovenia,Croatia
Slovenia,Italy
Somalia,Ethiopia
Somalia,Kenya
Somalia,Djibouti
South Africa,Namibia
South Africa,Botswana
South Africa,Zimbabwe
South Africa,Mozambique
South Africa,Lesotho
South Africa,Eswatini
South Korea,North Korea
South Sudan,Ethiopia
South Sudan,Sudan
South Sudan,Uganda
South Sudan,Central African Republic
South Sudan,Democratic Republic of the Congo
South Sudan,Kenya
Spain,Portugal
Spain,France
Spain,Andorra
Sudan,Egypt
Sudan,Eritea
Sudan,Central African Republic
Sudan,South Sudan
Sudan,Ethiopia
Sudan,Chad
Sudan,Libya
Suriname,Guyana
Suriname,French Guiana
Suriname,Brazil
Sweden,Finland
Sweden,Norway
Switzerland,France
Switzerland,Germany
Switzerland,Austria
Switzerland,Italy
Switzerland,Liechtenstein
Syria,Turkey
Syria,Iraq
Syria,Jordan
Syria,Lebanon
Syria,Israel
Tajikistan,China
Tajikistan,Afghanistan
Tajikistan,Uzbekistan
Tajikistan,Krygyzstan
Tanzania,Kenya
Tanzania,Mozambique
Tanzania,Zambia
Tanzania,Burundi
Tanzania,Rwanda
Tanzania,Uganda
Tanzania,Malwai
Thailand,Laos
Thailand,Cambodia
Thailand,Myanmar
Thailand,Malaysia
The Gambia,Senegal
Timor-Leste,Indonesia
Togo,Ghana
Togo,Benin
Togo,Burkina Faso
Tunisia,Algeria
Tunisia,Libya
Turkey,Georgia
Turkey,Armenia
Turkey,Iran
Turkey,Iraq
Turkey,Syria
Turkey,Bulgaria
Turkey,Greece
Turkey,Azerbaijan
Turkmenistan,Uzbekistan
Turkmenistan,Afghanistan
Turkmenistan,Iran
Turkmenistan,Kazakhstan
Uganda,South Sudan
Uganda,Kenya
Uganda,Democratic Republic of the Congo
Uganda,Tanzania
Uganda,Rwanda
Ukraine,Russia
Ukraine,Belarus
Ukraine,Moldova
Ukraine,Poland
Ukraine,Slovakia
Ukraine,Hungary
United Arab Emirates,Saudi Arabia
United Arab Emirates,Oman
United Kingdom,Ireland
Uruguay,Brazil
Uruguay,Argentina
Uzbekistan,Kazakhstan
Uzbekistan,Turkemistan
Uzbekistan,Afghanistan
Uzbekistan,Tajikistan
Uzbekistan,Kyrgyzstan
Venezuela,Colombia
Venezuela,Guyana
Venezuela,Brazil
Vietnam,Cambodia
Vietnam,Laos
Vietnam,China
Yemen,Saudi Arabia
Yemen,Oman
Zambia,Democratic Republic of the Congo
Zambia,Tanzania
Zambia,Zimbabwe
Zambia,Botswana
Zambia,Malawi
Zambia,Angola
Zambia,Namibia
Zimbabwe,Zambia
Zimbabwe,Mozambique
Zimbabwe,South Africa
Zimbabwe,Botswana
